CODIGO;ABRANGENCIA;NOME_ATIVO;N_MESES_TOTAL;N_MESES_AUSENTES;INTERVALOS_AUSENTES
5101012;São Paulo (RM);Ônibus internacional;83;83;1999-08 a 2006-06
1108020;São Paulo (RM);Peixe - cocoroca;83;83;1999-08 a 2006-06
1108027;São Paulo (RM);Peixe - espada;83;83;1999-08 a 2006-06
4101015;São Paulo (RM);Conjunto esportivo masculino;83;83;1999-08 a 2006-06
4102014;São Paulo (RM);Conjunto esportivo feminino;83;83;1999-08 a 2006-06
4103013;São Paulo (RM);Meia infantil;83;83;1999-08 a 2006-06
1108058;São Paulo (RM);Peixe - albacora;83;83;1999-08 a 2006-06
4103021;São Paulo (RM);Cueca infantil;83;83;1999-08 a 2006-06
5101009;São Paulo (RM);Ferry-boat;83;83;1999-08 a 2006-06
5101007;São Paulo (RM);Ônibus interestadual;324;83;1999-08 a 2006-06
4103051;São Paulo (RM);Roupa de banho infantil;83;83;1999-08 a 2006-06
1106024;São Paulo (RM);Pêssego;83;83;1999-08 a 2006-06
1108035;São Paulo (RM);Peixe - pampo;83;83;1999-08 a 2006-06
1108040;São Paulo (RM);Peixe - salmonete;83;83;1999-08 a 2006-06
1108048;São Paulo (RM);Peixe - xerelete;83;83;1999-08 a 2006-06
1110012;São Paulo (RM);Coxa de frango;83;83;1999-08 a 2006-06
1109009;São Paulo (RM);Chouriço e paio;83;83;1999-08 a 2006-06
4103040;São Paulo (RM);Conjunto de saia e blusa infantil;83;83;1999-08 a 2006-06
1104014;São Paulo (RM);Rapadura;83;83;1999-08 a 2006-06
8101018;São Paulo (RM);Livro didático;83;83;1999-08 a 2006-06
7203006;São Paulo (RM);Fita de vídeo virgem;83;83;1999-08 a 2006-06
7203001;São Paulo (RM);Máquina fotográfica;179;83;1999-08 a 2006-06
7201093;São Paulo (RM);Fita cassete virgem;83;83;1999-08 a 2006-06
7201085;São Paulo (RM);Fita de vídeo gravada;83;83;1999-08 a 2006-06
7203002;São Paulo (RM);Filme e flash descartável;149;83;1999-08 a 2006-06
3201034;São Paulo (RM);Máquina de lavar louça;83;83;1999-08 a 2006-06
3201033;São Paulo (RM);Freezer;83;83;1999-08 a 2006-06
3101004;São Paulo (RM);Móvel para jardim;83;83;1999-08 a 2006-06
