"Tabela 7063 - INPC - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2020)"
"Geral, grupo, subgrupo, item e subitem";"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Mês";"Variável";""
"1.Alimentação e bebidas";"BR";"1";"Brasil";"fevereiro 2022";"INPC - Variação mensal";"1,25";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"março 2022";"INPC - Variação mensal";"2,39";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"abril 2022";"INPC - Variação mensal";"2,26";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"maio 2022";"INPC - Variação mensal";"0,63";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"junho 2022";"INPC - Variação mensal";"0,78";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"julho 2022";"INPC - Variação mensal";"1,31";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"agosto 2022";"INPC - Variação mensal";"0,26";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"setembro 2022";"INPC - Variação mensal";"-0,51";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"outubro 2022";"INPC - Variação mensal";"0,60";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"novembro 2022";"INPC - Variação mensal";"0,55";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"dezembro 2022";"INPC - Variação mensal";"0,74";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"janeiro 2023";"INPC - Variação mensal";"0,52";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"fevereiro 2023";"INPC - Variação mensal";"0,04";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"março 2023";"INPC - Variação mensal";"-0,07";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"abril 2023";"INPC - Variação mensal";"0,61";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"maio 2023";"INPC - Variação mensal";"0,16";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"junho 2023";"INPC - Variação mensal";"-0,66";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"julho 2023";"INPC - Variação mensal";"-0,59";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"agosto 2023";"INPC - Variação mensal";"-0,91";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"setembro 2023";"INPC - Variação mensal";"-0,74";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"outubro 2023";"INPC - Variação mensal";"0,23";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"novembro 2023";"INPC - Variação mensal";"0,57";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"dezembro 2023";"INPC - Variação mensal";"1,20";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"janeiro 2024";"INPC - Variação mensal";"1,51";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"fevereiro 2024";"INPC - Variação mensal";"0,95";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"março 2024";"INPC - Variação mensal";"0,50";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"abril 2024";"INPC - Variação mensal";"0,57";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"maio 2024";"INPC - Variação mensal";"0,64";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"junho 2024";"INPC - Variação mensal";"0,44";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"julho 2024";"INPC - Variação mensal";"-0,95";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"agosto 2024";"INPC - Variação mensal";"-0,63";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"setembro 2024";"INPC - Variação mensal";"0,49";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"outubro 2024";"INPC - Variação mensal";"1,11";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"novembro 2024";"INPC - Variação mensal";"1,62";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"dezembro 2024";"INPC - Variação mensal";"1,12";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"janeiro 2025";"INPC - Variação mensal";"0,99";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"fevereiro 2025";"INPC - Variação mensal";"0,75";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"março 2025";"INPC - Variação mensal";"1,08";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"abril 2025";"INPC - Variação mensal";"0,76";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"maio 2025";"INPC - Variação mensal";"0,26";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"junho 2025";"INPC - Variação mensal";"-0,19";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"julho 2025";"INPC - Variação mensal";"-0,38";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"agosto 2025";"INPC - Variação mensal";"-0,54";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"setembro 2025";"INPC - Variação mensal";"-0,33";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"outubro 2025";"INPC - Variação mensal";"0,00";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"novembro 2025";"INPC - Variação mensal";"-0,06";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"dezembro 2025";"INPC - Variação mensal";"0,28";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"janeiro 2026";"INPC - Variação mensal";"0,14";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"fevereiro 2026";"INPC - Variação mensal";"0,26";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"março 2026";"INPC - Variação mensal";"1,65";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"abril 2026";"INPC - Variação mensal";"1,37";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"maio 2026";"INPC - Variação mensal";"1,33";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"junho 2026";"INPC - Variação mensal";"-0,29";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"julho 2026";"INPC - Variação mensal";"-0,74";"%"
"1.Alimentação e bebidas";"RM";"3501";"São Paulo (SP)";"janeiro 2020";"INPC - Variação mensal";"0,17";"%"
"1.Alimentação e bebidas";"RM";"3501";"São Paulo (SP)";"fevereiro 2020";"INPC - Variação mensal";"-0,58";"%"
"1.Alimentação e bebidas";"RM";"3501";"São Paulo (SP)";"março 2020";"INPC - Variação mensal";"1,49";"%"
"1.Alimentação e bebidas";"RM";"3501";"São Paulo (SP)";"abril 2020";"INPC - Variação mensal";"2,08";"%"
"1.Alimentação e bebidas";"RM";"3501";"São Paulo (SP)";"maio 2020";"INPC - Variação mensal";"0,16";"%"
"1.Alimentação e bebidas";"RM";"3501";"São Paulo (SP)";"junho 2020";"INPC - Variação mensal";"0,67";"%"
"1.Alimentação e bebidas";"RM";"3501";"São Paulo (SP)";"julho 2020";"INPC - Variação mensal";"-0,05";"%"
