"Tabela 1100 - INPC - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de janeiro/2012 até dezembro/2019)"
"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável";""
"BR";"1";"Brasil";"janeiro 2012";"1115051.Carne em conserva";"INPC - Variação mensal";"1,02";"%"
"BR";"1";"Brasil";"janeiro 2012";"1115053.Patê";"INPC - Variação mensal";"-1,31";"%"
"BR";"1";"Brasil";"janeiro 2012";"1115056.Sopa desidratada";"INPC - Variação mensal";"0,37";"%"
"BR";"1";"Brasil";"janeiro 2012";"1115057.Azeitona";"INPC - Variação mensal";"0,52";"%"
"BR";"1";"Brasil";"janeiro 2012";"1115058.Milho-verde em conserva";"INPC - Variação mensal";"-0,73";"%"
"BR";"1";"Brasil";"janeiro 2012";"1115075.Atum em conserva";"INPC - Variação mensal";"-0,58";"%"
"BR";"1";"Brasil";"janeiro 2012";"1116.Sal e condimentos";"INPC - Variação mensal";"0,08";"%"
"BR";"1";"Brasil";"janeiro 2012";"1116001.Leite de coco";"INPC - Variação mensal";"1,82";"%"
"BR";"1";"Brasil";"janeiro 2012";"1116005.Atomatado";"INPC - Variação mensal";"0,72";"%"
"BR";"1";"Brasil";"janeiro 2012";"1116010.Alho";"INPC - Variação mensal";"-1,29";"%"
"BR";"1";"Brasil";"janeiro 2012";"1116013.Sal";"INPC - Variação mensal";"1,52";"%"
"BR";"1";"Brasil";"janeiro 2012";"1116022.Colorau";"INPC - Variação mensal";"-2,38";"%"
"BR";"1";"Brasil";"janeiro 2012";"1116023.Caldo de tucupi";"INPC - Variação mensal";"-0,23";"%"
"BR";"1";"Brasil";"janeiro 2012";"1116026.Fermento";"INPC - Variação mensal";"1,04";"%"
"BR";"1";"Brasil";"janeiro 2012";"1116033.Maionese";"INPC - Variação mensal";"0,30";"%"
"BR";"1";"Brasil";"janeiro 2012";"1116041.Vinagre";"INPC - Variação mensal";"0,25";"%"
"BR";"1";"Brasil";"janeiro 2012";"1116048.Caldo concentrado";"INPC - Variação mensal";"-0,11";"%"
"BR";"1";"Brasil";"janeiro 2012";"1116071.Tempero misto";"INPC - Variação mensal";"-0,59";"%"
"BR";"1";"Brasil";"janeiro 2012";"12.Alimentação fora do domicílio";"INPC - Variação mensal";"1,11";"%"
"BR";"1";"Brasil";"janeiro 2012";"1201.Alimentação fora do domicílio";"INPC - Variação mensal";"1,11";"%"
"BR";"1";"Brasil";"janeiro 2012";"1201001.Refeição";"INPC - Variação mensal";"1,39";"%"
"BR";"1";"Brasil";"janeiro 2012";"1201003.Lanche";"INPC - Variação mensal";"1,32";"%"
"BR";"1";"Brasil";"janeiro 2012";"1201005.Café da manhã";"INPC - Variação mensal";"0,80";"%"
"BR";"1";"Brasil";"janeiro 2012";"1201007.Refrigerante e água mineral";"INPC - Variação mensal";"0,94";"%"
"BR";"1";"Brasil";"janeiro 2012";"1201009.Cafezinho";"INPC - Variação mensal";"-0,05";"%"
"BR";"1";"Brasil";"janeiro 2012";"1201048.Cerveja";"INPC - Variação mensal";"-0,40";"%"
"BR";"1";"Brasil";"janeiro 2012";"1201051.Outras bebidas alcoólicas";"INPC - Variação mensal";"0,74";"%"
"BR";"1";"Brasil";"janeiro 2012";"1201061.Doces";"INPC - Variação mensal";"0,75";"%"
"BR";"1";"Brasil";"janeiro 2012";"2.Habitação";"INPC - Variação mensal";"0,54";"%"
"BR";"1";"Brasil";"janeiro 2012";"21.Encargos e manutenção";"INPC - Variação mensal";"0,95";"%"
"BR";"1";"Brasil";"janeiro 2012";"2101.Aluguel e taxas";"INPC - Variação mensal";"1,10";"%"
"BR";"1";"Brasil";"janeiro 2012";"2101001.Aluguel residencial";"INPC - Variação mensal";"1,38";"%"
"BR";"1";"Brasil";"janeiro 2012";"2101002.Condomínio";"INPC - Variação mensal";"0,68";"%"
"BR";"1";"Brasil";"janeiro 2012";"2101004.Taxa de água e esgoto";"INPC - Variação mensal";"0,34";"%"
"BR";"1";"Brasil";"janeiro 2012";"2101012.Mudança";"INPC - Variação mensal";"6,28";"%"
"BR";"1";"Brasil";"janeiro 2012";"2103.Reparos";"INPC - Variação mensal";"0,76";"%"
"BR";"1";"Brasil";"janeiro 2012";"2103005.Ferragens";"INPC - Variação mensal";"0,17";"%"
"BR";"1";"Brasil";"janeiro 2012";"2103008.Material de eletricidade";"INPC - Variação mensal";"2,21";"%"
"BR";"1";"Brasil";"janeiro 2012";"2103009.Material de pintura";"INPC - Variação mensal";"0,85";"%"
"BR";"1";"Brasil";"janeiro 2012";"2103014.Tinta";"INPC - Variação mensal";"0,47";"%"
"BR";"1";"Brasil";"janeiro 2012";"2103032.Revestimento de piso e parede";"INPC - Variação mensal";"-0,29";"%"
"BR";"1";"Brasil";"janeiro 2012";"2103039.Cimento";"INPC - Variação mensal";"-0,01";"%"
"BR";"1";"Brasil";"janeiro 2012";"2103040.Tijolo";"INPC - Variação mensal";"-0,18";"%"
"BR";"1";"Brasil";"janeiro 2012";"2103041.Material hidráulico";"INPC - Variação mensal";"-0,50";"%"
"BR";"1";"Brasil";"janeiro 2012";"2103042.Mão de obra";"INPC - Variação mensal";"1,52";"%"
"BR";"1";"Brasil";"janeiro 2012";"2103048.Areia";"INPC - Variação mensal";"-0,30";"%"
"BR";"1";"Brasil";"janeiro 2012";"2103049.Pedras";"INPC - Variação mensal";"...";"%"
"BR";"1";"Brasil";"janeiro 2012";"2103055.Telha";"INPC - Variação mensal";"1,22";"%"
"BR";"1";"Brasil";"janeiro 2012";"2104.Artigos de limpeza";"INPC - Variação mensal";"0,34";"%"
"BR";"1";"Brasil";"janeiro 2012";"2104005.Água sanitária";"INPC - Variação mensal";"0,70";"%"
"BR";"1";"Brasil";"janeiro 2012";"2104008.Detergente";"INPC - Variação mensal";"0,58";"%"
"BR";"1";"Brasil";"janeiro 2012";"2104009.Sabão em pó";"INPC - Variação mensal";"0,27";"%"
"BR";"1";"Brasil";"janeiro 2012";"2104012.Desinfetante";"INPC - Variação mensal";"0,73";"%"
"BR";"1";"Brasil";"janeiro 2012";"2104015.Sabão em barra";"INPC - Variação mensal";"0,76";"%"
"BR";"1";"Brasil";"janeiro 2012";"2104016.Esponja de limpeza";"INPC - Variação mensal";"-0,29";"%"
"BR";"1";"Brasil";"janeiro 2012";"2104032.Amaciante";"INPC - Variação mensal";"-0,31";"%"
"BR";"1";"Brasil";"janeiro 2012";"22.Combustíveis e energia";"INPC - Variação mensal";"-0,23";"%"
"BR";"1";"Brasil";"janeiro 2012";"2201.Combustíveis (domésticos)";"INPC - Variação mensal";"0,06";"%"
"BR";"1";"Brasil";"janeiro 2012";"2201003.Carvão vegetal";"INPC - Variação mensal";"2,10";"%"
"BR";"1";"Brasil";"janeiro 2012";"2201004.Gás de botijão";"INPC - Variação mensal";"0,03";"%"
"BR";"1";"Brasil";"janeiro 2012";"2201005.Gás encanado";"INPC - Variação mensal";"0,00";"%"
"BR";"1";"Brasil";"janeiro 2012";"2202.Energia elétrica residencial";"INPC - Variação mensal";"-0,36";"%"
"BR";"1";"Brasil";"janeiro 2012";"2202003.Energia elétrica residencial";"INPC - Variação mensal";"-0,36";"%"
"BR";"1";"Brasil";"janeiro 2012";"3.Artigos de residência";"INPC - Variação mensal";"-0,03";"%"
"BR";"1";"Brasil";"janeiro 2012";"31.Móveis e utensílios";"INPC - Variação mensal";"-0,19";"%"
"BR";"1";"Brasil";"janeiro 2012";"3101.Mobiliário";"INPC - Variação mensal";"-0,51";"%"
"BR";"1";"Brasil";"janeiro 2012";"3101002.Móvel para sala";"INPC - Variação mensal";"-0,42";"%"
"BR";"1";"Brasil";"janeiro 2012";"3101003.Móvel para quarto";"INPC - Variação mensal";"-1,64";"%"
"BR";"1";"Brasil";"janeiro 2012";"3101015.Móvel para copa e cozinha";"INPC - Variação mensal";"-0,08";"%"
"BR";"1";"Brasil";"janeiro 2012";"3101016.Móvel infantil";"INPC - Variação mensal";"-0,59";"%"
"BR";"1";"Brasil";"janeiro 2012";"3101017.Colchão";"INPC - Variação mensal";"2,36";"%"
"BR";"1";"Brasil";"janeiro 2012";"3102.Utensílios e enfeites";"INPC - Variação mensal";"0,03";"%"
"BR";"1";"Brasil";"janeiro 2012";"3102005.Tapete";"INPC - Variação mensal";"0,66";"%"
"BR";"1";"Brasil";"janeiro 2012";"3102006.Cortina";"INPC - Variação mensal";"1,18";"%"
"BR";"1";"Brasil";"janeiro 2012";"3102007.Utensílios de metal";"INPC - Variação mensal";"-0,74";"%"
